category,name,area,address,maps_link,delivery_apps,zomato_search,swiggy_search,rating,reviews,lat,lon,place_id
restaurants,Sri Rama Chicken Centre,area4,"near Hanuman Temple, Malyala, Hyderabad",https://www.google.com/maps/place/?q=place_id:ChIJ_-XoAU6XyzsRW0BoOD44Imk,Unknown - verify on Zomato/Swiggy,https://www.zomato.com/hyderabad/restaurants?q=Sri%20Rama%20Chicken%20Centre,https://www.swiggy.com/search?query=Sri%20Rama%20Chicken%20Centre,,,17.370991,78.447044,ChIJ_-XoAU6XyzsRW0BoOD44Imk
restaurants,SRI SAI IDLY CENTER,area4,"Sarada Nagar Colony, Gudimalkapur, Hyderabad",https://www.google.com/maps/place/?q=place_id:ChIJ2YPAwbWXyzsRFNlItfLElwA,Unknown - verify on Zomato/Swiggy,https://www.zomato.com/hyderabad/restaurants?q=SRI%20SAI%20IDLY%20CENTER,https://www.swiggy.com/search?query=SRI%20SAI%20IDLY%20CENTER,4.2,6,17.381677,78.439255,ChIJ2YPAwbWXyzsRFNlItfLElwA
restaurants,Sri Sai Swagruha Foods And Curries Point,area4,"12-2-416/79, Mehdipatnam, Hyderabad",https://www.google.com/maps/place/?q=place_id:ChIJ1V09fAaXyzsRT8K0tz2pJWA,Possibly listed - verify via Zomato/Swiggy search links,https://www.zomato.com/hyderabad/restaurants?q=Sri%20Sai%20Swagruha%20Foods%20And%20Curries%20Point,https://www.swiggy.com/search?query=Sri%20Sai%20Swagruha%20Foods%20And%20Curries%20Point,4.1,70,17.383802,78.438527,ChIJ1V09fAaXyzsRT8K0tz2pJWA
restaurants,SRI SRINIVASA MIRCHI,area4,"13-6-267, opp. Hp Petrol Pump, 98, Karwan Road, Satyanarayan Nagar, Talla Gadda, Gudimalkapur, Hyderabad",https://www.google.com/maps/place/?q=place_id:ChIJ9W5qtgeXyzsRk5ry5fCGAo4,Possibly listed - verify via Zomato/Swiggy search links,https://www.zomato.com/hyderabad/restaurants?q=SRI%20SRINIVASA%20MIRCHI,https://www.swiggy.com/search?query=SRI%20SRINIVASA%20MIRCHI,4.2,39,17.381115,78.439655,ChIJ9W5qtgeXyzsRk5ry5fCGAo4
restaurants,SRI SUSHMA NARESH NILAYAM,area4,India,https://www.google.com/maps/place/?q=place_id:ChIJn0BU5aSXyzsReqTSV2Uigt4,Unknown - verify on Zomato/Swiggy,https://www.zomato.com/hyderabad/restaurants?q=SRI%20SUSHMA%20NARESH%20NILAYAM,https://www.swiggy.com/search?query=SRI%20SUSHMA%20NARESH%20NILAYAM,3.7,3,17.369516,78.444627,ChIJn0BU5aSXyzsReqTSV2Uigt4
restaurants,SRI THARINI,area4,India,https://www.google.com/maps/place/?q=place_id:ChIJtfovBaOXyzsRd1f1yhhH2AM,Unknown - verify on Zomato/Swiggy,https://www.zomato.com/hyderabad/restaurants?q=SRI%20THARINI,https://www.swiggy.com/search?query=SRI%20THARINI,,,17.369833,78.449042,ChIJtfovBaOXyzsRd1f1yhhH2AM
restaurants,SRI UDIPI GRAND TEA POINT,area4,"432/34/1, Inner Ring Road, Netaji Nagar Colony, Langar Houz, Hyderabad",https://www.google.com/maps/place/?q=place_id:ChIJy93erLSXyzsRmT-MaYy5feQ,Unknown - verify on Zomato/Swiggy,https://www.zomato.com/hyderabad/restaurants?q=SRI%20UDIPI%20GRAND%20TEA%20POINT,https://www.swiggy.com/search?query=SRI%20UDIPI%20GRAND%20TEA%20POINT,1,1,17.379611,78.429147,ChIJy93erLSXyzsRmT-MaYy5feQ
restaurants,Sri Velmurugan Coffee,area4,"9CQQ+2RF, opposite Mohammedia Masjid, Gudi Malkapur Road, Gudimalkapur, Hyderabad",https://www.google.com/maps/place/?q=place_id:ChIJO-3RCgWXyzsRQDM7Cu1c2dI,Unknown - verify on Zomato/Swiggy,https://www.zomato.com/hyderabad/restaurants?q=Sri%20Velmurugan%20Coffee,https://www.swiggy.com/search?query=Sri%20Velmurugan%20Coffee,,,17.387575,78.439562,ChIJO-3RCgWXyzsRQDM7Cu1c2dI
restaurants,SS Food Hub,area4,"9-1-41/22/12, Prashanth Nagar, Langar Houz, Hyderabad",https://www.google.com/maps/place/?q=place_id:ChIJO5ewH6KXyzsRgM20AcFSJPc,Unknown - verify on Zomato/Swiggy,https://www.zomato.com/hyderabad/restaurants?q=SS%20Food%20Hub,https://www.swiggy.com/search?query=SS%20Food%20Hub,5,2,17.375126,78.418437,ChIJO5ewH6KXyzsRgM20AcFSJPc
restaurants,SS Welding & Engineering Works,area4,"Pillar Number 108, 6/826/48, 13-6-826/48,Ringroad Attapure, 13/6/826/48, Moghal Nagar, Karwan West, Hyderabad",https://www.google.com/maps/place/?q=place_id:ChIJcxUV01SWyzsR2-CZG4TfA0M,Possibly listed - verify via Zomato/Swiggy search links,https://www.zomato.com/hyderabad/restaurants?q=SS%20Welding%20%26%20Engineering%20Works,https://www.swiggy.com/search?query=SS%20Welding%20%26%20Engineering%20Works,4.8,73,17.37522,78.429593,ChIJcxUV01SWyzsR2-CZG4TfA0M
restaurants,SSS Foodcourt,area4,"9CRQ+63X, Santosh Nagar, Gudimalkapur, Hyderabad",https://www.google.com/maps/place/?q=place_id:ChIJ7WbpOACXyzsRPMz1yaHIw5U,Unknown - verify on Zomato/Swiggy,https://www.zomato.com/hyderabad/restaurants?q=SSS%20Foodcourt,https://www.swiggy.com/search?query=SSS%20Foodcourt,5,4,17.390611,78.437728,ChIJ7WbpOACXyzsRPMz1yaHIw5U
restaurants,Star naseeb hotel,area4,"9CGX+98C, Asif Nagar Road, Ashok Nagar, Hyderabad",https://www.google.com/maps/place/?q=place_id:ChIJN15mZwCXyzsRwGVsXtAv_iw,Unknown - verify on Zomato/Swiggy,https://www.zomato.com/hyderabad/restaurants?q=Star%20naseeb%20hotel,https://www.swiggy.com/search?query=Star%20naseeb%20hotel,3.7,23,17.375937,78.448277,ChIJN15mZwCXyzsRwGVsXtAv_iw
restaurants,Start Light,area4,Hyderabad,https://www.google.com/maps/place/?q=place_id:ChIJmdHR36CXyzsRcQvf9ZQVqtg,Unknown - verify on Zomato/Swiggy,https://www.zomato.com/hyderabad/restaurants?q=Start%20Light,https://www.swiggy.com/search?query=Start%20Light,5,2,17.36922,78.443086,ChIJmdHR36CXyzsRcQvf9ZQVqtg
